1.5;14.5;13.5;14;13;17.5;15.5;16.5;15;19.5;17.5;22;19;22;18.5;nan;nan;nan;nan;nan
2.5;19.5;18;18.5;17.5;24;21;23;20;27;24;28;24;30;25;nan;nan;nan;nan;nan
4;26;24;25;23;32;28;30;27;36;32;38;33;40;34;nan;nan;nan;nan;nan
6;34;31;32;29;41;36;38;34;46;41;48;41;51;43;nan;nan;nan;nan;nan
10;46;42;43;39;57;50;52;46;63;57;64;54;70;60;nan;nan;nan;nan;nan
16;61;56;57;52;76;68;69;62;85;76;83;70;94;80;nan;nan;nan;nan;nan
25;80;73;75;68;101;89;90;80;112;96;110;92;119;101;131;110;114;146;130
35;99;89;92;83;125;110;111;99;138;119;132;110;148;126;162;137;143;181;162
50;119;108;110;99;151;134;133;118;168;144;156;130;180;153;196;167;174;219;197
70;151;136;139;125;192;171;168;149;213;184;192;162;232;196;251;216;225;281;254
